L1,L2,L3,L4,L5,L6,L7,Code,Use?
Products,,,,,,,c_6211,N
Products,"Plant products",,,,,,c_8171,N
Products,"Plant products",Cereals,,,,,c_1474,M
Products,"Plant products",Cereals,barley ,,,,c_823,Y
Products,"Plant products",Cereals,"coarse grains ",,,,c_25468,N
Products,"Plant products",Cereals,"feed cereals ",,,,c_2828,N
Products,"Plant products",Cereals,maize ,,,,c_12332,Y
Products,"Plant products",Cereals,millets ,,,,c_4838,Y
Products,"Plant products",Cereals,oats ,,,,c_5287,Y
Products,"Plant products",Cereals,rice ,,,,c_6599,Y
Products,"Plant products",Cereals,rye ,,,,c_14010,Y
Products,"Plant products",Cereals,"sorghum grain ",,,,c_7249,Y
Products,"Plant products",Cereals,"triticales (product) ",,,,c_7949,M
Products,"Plant products",Cereals,wheats ,,,,c_8373,Y
Products,"Plant products","Cocoa products",,,,,c_331527,N
Products,"Plant products","Cocoa products","cocoa beans ",,,,c_1711,Y
Products,"Plant products","Cocoa products","cocoa butter ",,,,c_28260,Y
Products,"Plant products","Coconut water",,,,,c_34238,M
Products,"Plant products","Coffee beans",,,,,c_28379,Y
Products,"Plant products","Coffee beans","arabica coffee ",,,,c_566,M
Products,"Plant products","Coffee beans","congusta coffee ",,,,c_1812,M
Products,"Plant products","Coffee beans","liberica coffee ",,,,c_4308,M
Products,"Plant products","Coffee beans","robusta coffee ",,,,c_6626,M
Products,"Plant products",Fruits,,,,,c_3131,Y
Products,"Plant products",Fruits,acorns ,,,,c_23986,Y
Products,"Plant products",Fruits,akee ,,,,c_8697,Y
Products,"Plant products",Fruits,avocados ,,,,c_9022,Y
Products,"Plant products",Fruits,bananas ,,,,c_806,Y
Products,"Plant products",Fruits,carambola ,,,,c_9605,Y
Products,"Plant products",Fruits,cherimoyas ,,,,c_9761,Y
Products,"Plant products",Fruits,"citrus fruits ",,,,c_1641,M
Products,"Plant products",Fruits,"citrus fruits ","bergamot orange ",,,c_9233,Y
Products,"Plant products",Fruits,"citrus fruits ",calamondins ,,,c_15497,Y
Products,"Plant products",Fruits,"citrus fruits ",citranges ,,,c_1629,Y
Products,"Plant products",Fruits,"citrus fruits ",citrons ,,,c_1632,Y
Products,"Plant products",Fruits,"citrus fruits ",clementines ,,,c_9895,Y
Products,"Plant products",Fruits,"citrus fruits ",grapefruits ,,,c_3358,Y
Products,"Plant products",Fruits,"citrus fruits ",lemons ,,,c_4259,Y
Products,"Plant products",Fruits,"citrus fruits ",limequats ,,,c_4340,Y
