hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
NULL,NULL,c_4397,NULL,c_8313
NULL,NULL,NULL,c_20762,NULL
NULL,NULL,NULL,c_1075,NULL
NULL,NULL,NULL,c_1151,NULL
NULL,NULL,NULL,c_1334,NULL
NULL,NULL,NULL,c_1504,NULL
NULL,NULL,NULL,c_32404,NULL
NULL,NULL,NULL,c_3103,NULL
NULL,NULL,NULL,c_3326,NULL
NULL,NULL,NULL,c_3617,NULL
NULL,NULL,NULL,c_5694,NULL
NULL,NULL,NULL,c_5876,NULL
NULL,NULL,NULL,c_5877,NULL
NULL,NULL,NULL,c_6619,NULL
NULL,NULL,NULL,c_6888,NULL
NULL,NULL,NULL,c_7018,NULL
NULL,NULL,NULL,c_7096,NULL
NULL,NULL,NULL,c_16049,NULL
NULL,NULL,NULL,c_32720,NULL
NULL,NULL,NULL,c_7983,NULL
NULL,NULL,NULL,c_8382,NULL
NULL,NULL,NULL,c_36887,NULL
NULL,NULL,NULL,c_396,NULL
NULL,NULL,NULL,c_414,NULL
NULL,NULL,NULL,c_605,NULL
NULL,NULL,NULL,c_717,NULL
NULL,NULL,NULL,c_827,NULL
NULL,NULL,NULL,c_975,NULL
NULL,NULL,NULL,c_1003,NULL
NULL,NULL,NULL,c_1165,NULL
NULL,NULL,NULL,c_1268,NULL
NULL,NULL,NULL,c_1717,NULL
NULL,NULL,NULL,c_1810,NULL
NULL,NULL,NULL,c_1961,NULL
NULL,NULL,NULL,c_2045,NULL
NULL,NULL,NULL,c_2351,NULL
NULL,NULL,NULL,c_2353,NULL
NULL,NULL,NULL,c_2896,NULL
NULL,NULL,NULL,c_2961,NULL
NULL,NULL,NULL,c_2962,NULL
NULL,NULL,NULL,c_3001,NULL
NULL,NULL,NULL,c_3267,NULL
NULL,NULL,NULL,c_3323,NULL
NULL,NULL,NULL,c_3392,NULL
NULL,NULL,NULL,c_3402,NULL
NULL,NULL,NULL,c_3442,NULL
NULL,NULL,NULL,c_3458,NULL
NULL,NULL,NULL,c_3473,NULL
NULL,NULL,NULL,c_3575,NULL
NULL,NULL,NULL,c_3667,NULL
NULL,NULL,NULL,c_3827,NULL
NULL,NULL,NULL,c_4050,NULL
NULL,NULL,NULL,c_4105,NULL
NULL,NULL,NULL,c_4350,NULL
NULL,NULL,NULL,c_4460,NULL
NULL,NULL,NULL,c_4498,NULL
NULL,NULL,NULL,c_4608,NULL
NULL,NULL,NULL,c_4627,NULL
NULL,NULL,NULL,c_4736,NULL
NULL,NULL,NULL,c_4748,NULL
NULL,NULL,NULL,c_4888,NULL
NULL,NULL,NULL,c_4930,NULL
NULL,NULL,NULL,c_4935,NULL
NULL,NULL,NULL,c_4980,NULL
NULL,NULL,NULL,c_5102,NULL
NULL,NULL,NULL,c_5361,NULL
NULL,NULL,NULL,c_6067,NULL
NULL,NULL,NULL,c_6101,NULL
NULL,NULL,NULL,c_6102,NULL
NULL,NULL,NULL,c_6363,NULL
NULL,NULL,NULL,c_6467,NULL
NULL,NULL,NULL,c_6481,NULL
NULL,NULL,NULL,c_6671,NULL
NULL,NULL,NULL,c_6722,NULL
NULL,NULL,NULL,c_6736,NULL
NULL,NULL,NULL,c_6739,NULL
NULL,NULL,NULL,c_6780,NULL
NULL,NULL,NULL,c_6812,NULL
NULL,NULL,NULL,c_6813,NULL
NULL,NULL,NULL,c_6828,NULL
NULL,NULL,NULL,c_6876,NULL
NULL,NULL,NULL,c_6888,NULL
NULL,NULL,NULL,c_6893,NULL
NULL,NULL,NULL,c_6894,NULL
NULL,NULL,NULL,c_6895,NULL
NULL,NULL,NULL,c_7018,NULL
NULL,NULL,NULL,c_7028,NULL
NULL,NULL,NULL,c_7069,NULL
NULL,NULL,NULL,c_7123,NULL
NULL,NULL,NULL,c_7278,NULL
NULL,NULL,NULL,c_7330,NULL
NULL,NULL,NULL,c_7559,NULL
NULL,NULL,NULL,c_7617,NULL
NULL,NULL,NULL,c_7736,NULL
NULL,NULL,NULL,c_7806,NULL
NULL,NULL,NULL,c_7925,NULL
NULL,NULL,NULL,c_8003,NULL
NULL,NULL,NULL,c_8338,NULL
NULL,NULL,NULL,c_8348,NULL
NULL,NULL,NULL,c_8382,NULL
NULL,NULL,NULL,c_8383,NULL
NULL,NULL,NULL,c_8451,NULL
NULL,NULL,NULL,c_8482,NULL
NULL,NULL,c_4397,c_676,NULL
